ref,x1,y1,x2,y2,angCONN,axCONN,axid,axLEN,axref,CONN,segLEN,CH,INT,NC,TD,NACH,NAIN
648,422774.280025,563836.220892,422804.370645,563946.020345,3.1102171,4,629,113.84801,628,4,113.84799,301794,1479.8899,8597,49941.828,1.16627074479194,1.05374247393033
649,422804.370645,563946.020345,422817.013797,563992.155606,2.0136957,4,630,47.836285,629,4,47.8363,463656,1479.8464,8597,49943.297,1.20595782629584,1.0537114810684
650,422817.013797,563992.155606,422846.008341,564097.977091,1.9798,4,631,109.72179,630,4,109.72179,511010,1479.8807,8597,49942.141,1.2149491236811,1.05373587012481
651,422846.008341,564097.977091,422859.373546,564146.753576,2.0085356,4,632,50.57444,631,4,50.574444,532266,1479.8798,8597,49942.172,1.21871606830149,1.05373521607828
652,422859.373546,564146.753576,422892.426957,564267.385617,2.0043261,4,633,125.07845,632,4,125.07845,583385,1479.8571,8597,49942.938,1.22719076079402,1.05371905505761
653,422892.426957,564267.385617,422909.675936,564330.326159,3.0184634,5,634,65.261314,633,5,65.261314,604801,1479.8568,8597,49942.945,1.23052313078198,1.05371890737433
654,422909.675936,564330.326159,422923.265964,564379.938671,3.99108,6,635,51.440163,634,6,51.440163,613185,1479.8589,8597,49942.875,1.23179582663805,1.05372038420901
655,422923.265964,564379.938671,422936.52265,564428.314296,4.0012813,5,636,50.159153,635,5,50.159153,632811,1479.8589,8597,49942.875,1.2347079212435,1.05372038420901
656,422982.950573,564415.897952,422993.364527,564461.699752,2.9811702,4,637,46.970791,636,4,46.970791,956450,1519.9365,8597,48625.984,1.27603935557912,1.08225611150713
657,422993.364527,564461.699752,422998.12764,564489.444799,2.034971,4,638,28.15093,637,4,28.15093,941411,1516.4045,8597,48739.242,1.27429610683557,1.07974131792274
658,422998.12764,564489.444799,423003.353728,564524.35888,2.0403895,4,639,35.303047,638,4,35.303047,928100,1515.0854,8597,48781.676,1.27287424834217,1.07880211557389
659,423003.353728,564524.35888,423007.175339,564549.650896,2.0228906,4,640,25.579109,639,4,25.579109,916013,1515.099,8597,48781.242,1.27166096501523,1.07881171313442
660,423007.175339,564549.650896,423012.767553,564576.721182,3.1817493,5,641,27.641874,640,5,27.641874,901807,1511.6219,8597,48893.449,1.26994282413879,1.07633601798546
661,423012.767553,564576.721182,423023.845517,564608.84944,3.5425448,6,642,33.984501,641,6,33.984501,876074,1503.5884,8597,49154.684,1.26663657671663,1.07061600970218
662,423035.805744,563185.286823,423036.153865,563199.939317,6.0596628,7,643,14.656629,642,7,14.656629,64543,1366.934,8597,54068.75,1.0162446506391,0.973316125155856
663,423031.326371,563227.563539,423036.153865,563199.939317,5.3494987,7,644,28.042866,643,7,28.042866,287166,1369.9973,8597,53947.848,1.15345235006701,0.975497333639773
664,422973.431147,563225.999942,423031.326371,563227.563539,1.9830692,3,645,57.916336,644,3,57.916336,219984,1279.3599,8597,57769.836,1.12194520722335,0.910961750882749
665,422908.697577,563249.73091,422973.431147,563225.999942,1.1443782,3,646,68.946312,645,3,68.946312,214564,1268.7343,8597,58253.656,1.118818944565,0.903396107568869
