Lower layer Super Output Areas Code,Lower layer Super Output Areas,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E01008319,Newcastle upon Tyne 007B,10,Mixed or Multiple ethnic groups: White and Black African,9
E01008319,Newcastle upon Tyne 007B,11,Mixed or Multiple ethnic groups: White and Black Caribbean,3
E01008319,Newcastle upon Tyne 007B,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,7
E01008319,Newcastle upon Tyne 007B,13,"White: English, Welsh, Scottish, Northern Irish or British",1331
E01008319,Newcastle upon Tyne 007B,14,White: Irish,10
E01008319,Newcastle upon Tyne 007B,15,White: Gypsy or Irish Traveller,0
E01008319,Newcastle upon Tyne 007B,16,White: Roma,0
E01008319,Newcastle upon Tyne 007B,17,White: Other White,38
E01008319,Newcastle upon Tyne 007B,18,Other ethnic group: Arab,14
E01008319,Newcastle upon Tyne 007B,19,Other ethnic group: Any other ethnic group,22
E01008320,Newcastle upon Tyne 007C,-8,Does not apply,0
E01008320,Newcastle upon Tyne 007C,1,"Asian, Asian British or Asian Welsh: Bangladeshi",15
E01008320,Newcastle upon Tyne 007C,2,"Asian, Asian British or Asian Welsh: Chinese",17
E01008320,Newcastle upon Tyne 007C,3,"Asian, Asian British or Asian Welsh: Indian",60
E01008320,Newcastle upon Tyne 007C,4,"Asian, Asian British or Asian Welsh: Pakistani",37
E01008320,Newcastle upon Tyne 007C,5,"Asian, Asian British or Asian Welsh: Other Asian",22
E01008320,Newcastle upon Tyne 007C,6,"Black, Black British, Black Welsh, Caribbean or African: African",25
E01008320,Newcastle upon Tyne 007C,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1
E01008320,Newcastle upon Tyne 007C,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
E01008320,Newcastle upon Tyne 007C,9,Mixed or Multiple ethnic groups: White and Asian,18
E01008320,Newcastle upon Tyne 007C,10,Mixed or Multiple ethnic groups: White and Black African,14
E01008320,Newcastle upon Tyne 007C,11,Mixed or Multiple ethnic groups: White and Black Caribbean,3
E01008320,Newcastle upon Tyne 007C,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,5
E01008320,Newcastle upon Tyne 007C,13,"White: English, Welsh, Scottish, Northern Irish or British",1278
E01008320,Newcastle upon Tyne 007C,14,White: Irish,7
E01008320,Newcastle upon Tyne 007C,15,White: Gypsy or Irish Traveller,0
E01008320,Newcastle upon Tyne 007C,16,White: Roma,3
E01008320,Newcastle upon Tyne 007C,17,White: Other White,56
E01008320,Newcastle upon Tyne 007C,18,Other ethnic group: Arab,17
E01008320,Newcastle upon Tyne 007C,19,Other ethnic group: Any other ethnic group,5
E01008321,Newcastle upon Tyne 007D,-8,Does not apply,0
E01008321,Newcastle upon Tyne 007D,1,"Asian, Asian British or Asian Welsh: Bangladeshi",12
E01008321,Newcastle upon Tyne 007D,2,"Asian, Asian British or Asian Welsh: Chinese",35
E01008321,Newcastle upon Tyne 007D,3,"Asian, Asian British or Asian Welsh: Indian",94
E01008321,Newcastle upon Tyne 007D,4,"Asian, Asian British or Asian Welsh: Pakistani",67
E01008321,Newcastle upon Tyne 007D,5,"Asian, Asian British or Asian Welsh: Other Asian",39
E01008321,Newcastle upon Tyne 007D,6,"Black, Black British, Black Welsh, Caribbean or African: African",15
E01008321,Newcastle upon Tyne 007D,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1
E01008321,Newcastle upon Tyne 007D,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1
E01008321,Newcastle upon Tyne 007D,9,Mixed or Multiple ethnic groups: White and Asian,24
E01008321,Newcastle upon Tyne 007D,10,Mixed or Multiple ethnic groups: White and Black African,9
E01008321,Newcastle upon Tyne 007D,11,Mixed or Multiple ethnic groups: White and Black Caribbean,7
E01008321,Newcastle upon Tyne 007D,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,10
E01008321,Newcastle upon Tyne 007D,13,"White: English, Welsh, Scottish, Northern Irish or British",1232
E01008321,Newcastle upon Tyne 007D,14,White: Irish,6
E01008321,Newcastle upon Tyne 007D,15,White: Gypsy or Irish Traveller,1
E01008321,Newcastle upon Tyne 007D,16,White: Roma,1
E01008321,Newcastle upon Tyne 007D,17,White: Other White,74
E01008321,Newcastle upon Tyne 007D,18,Other ethnic group: Arab,64
E01008321,Newcastle upon Tyne 007D,19,Other ethnic group: Any other ethnic group,20
E01008322,Newcastle upon Tyne 007E,-8,Does not apply,0
E01008322,Newcastle upon Tyne 007E,1,"Asian, Asian British or Asian Welsh: Bangladeshi",41
E01008322,Newcastle upon Tyne 007E,2,"Asian, Asian British or Asian Welsh: Chinese",22
E01008322,Newcastle upon Tyne 007E,3,"Asian, Asian British or Asian Welsh: Indian",45
E01008322,Newcastle upon Tyne 007E,4,"Asian, Asian British or Asian Welsh: Pakistani",91
E01008322,Newcastle upon Tyne 007E,5,"Asian, Asian British or Asian Welsh: Other Asian",13
E01008322,Newcastle upon Tyne 007E,6,"Black, Black British, Black Welsh, Caribbean or African: African",11
E01008322,Newcastle upon Tyne 007E,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1
E01008322,Newcastle upon Tyne 007E,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2
E01008322,Newcastle upon Tyne 007E,9,Mixed or Multiple ethnic groups: White and Asian,16
E01008322,Newcastle upon Tyne 007E,10,Mixed or Multiple ethnic groups: White and Black African,4
E01008322,Newcastle upon Tyne 007E,11,Mixed or Multiple ethnic groups: White and Black Caribbean,4
E01008322,Newcastle upon Tyne 007E,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,16
E01008322,Newcastle upon Tyne 007E,13,"White: English, Welsh, Scottish, Northern Irish or British",1192
E01008322,Newcastle upon Tyne 007E,14,White: Irish,6
E01008322,Newcastle upon Tyne 007E,15,White: Gypsy or Irish Traveller,0
E01008322,Newcastle upon Tyne 007E,16,White: Roma,6
E01008322,Newcastle upon Tyne 007E,17,White: Other White,49
E01008322,Newcastle upon Tyne 007E,18,Other ethnic group: Arab,9
E01008322,Newcastle upon Tyne 007E,19,Other ethnic group: Any other ethnic group,15
E01008323,Newcastle upon Tyne 007F,-8,Does not apply,0
E01008323,Newcastle upon Tyne 007F,1,"Asian, Asian British or Asian Welsh: Bangladeshi",37
E01008323,Newcastle upon Tyne 007F,2,"Asian, Asian British or Asian Welsh: Chinese",36
E01008323,Newcastle upon Tyne 007F,3,"Asian, Asian British or Asian Welsh: Indian",137
E01008323,Newcastle upon Tyne 007F,4,"Asian, Asian British or Asian Welsh: Pakistani",30
E01008323,Newcastle upon Tyne 007F,5,"Asian, Asian British or Asian Welsh: Other Asian",27
E01008323,Newcastle upon Tyne 007F,6,"Black, Black British, Black Welsh, Caribbean or African: African",26
E01008323,Newcastle upon Tyne 007F,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",5
E01008323,Newcastle upon Tyne 007F,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1
E01008323,Newcastle upon Tyne 007F,9,Mixed or Multiple ethnic groups: White and Asian,12
E01008323,Newcastle upon Tyne 007F,10,Mixed or Multiple ethnic groups: White and Black African,6
E01008323,Newcastle upon Tyne 007F,11,Mixed or Multiple ethnic groups: White and Black Caribbean,2
E01008323,Newcastle upon Tyne 007F,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,11
E01008323,Newcastle upon Tyne 007F,13,"White: English, Welsh, Scottish, Northern Irish or British",1212
E01008323,Newcastle upon Tyne 007F,14,White: Irish,11
E01008323,Newcastle upon Tyne 007F,15,White: Gypsy or Irish Traveller,2
E01008323,Newcastle upon Tyne 007F,16,White: Roma,0
E01008323,Newcastle upon Tyne 007F,17,White: Other White,64
E01008323,Newcastle upon Tyne 007F,18,Other ethnic group: Arab,20
E01008323,Newcastle upon Tyne 007F,19,Other ethnic group: Any other ethnic group,21
E01008324,Newcastle upon Tyne 015A,-8,Does not apply,0
E01008324,Newcastle upon Tyne 015A,1,"Asian, Asian British or Asian Welsh: Bangladeshi",0
E01008324,Newcastle upon Tyne 015A,2,"Asian, Asian British or Asian Welsh: Chinese",12
E01008324,Newcastle upon Tyne 015A,3,"Asian, Asian British or Asian Welsh: Indian",4
E01008324,Newcastle upon Tyne 015A,4,"Asian, Asian British or Asian Welsh: Pakistani",2
E01008324,Newcastle upon Tyne 015A,5,"Asian, Asian British or Asian Welsh: Other Asian",11
E01008324,Newcastle upon Tyne 015A,6,"Black, Black British, Black Welsh, Caribbean or African: African",6
E01008324,Newcastle upon Tyne 015A,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",0
E01008324,Newcastle upon Tyne 015A,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",4
E01008324,Newcastle upon Tyne 015A,9,Mixed or Multiple ethnic groups: White and Asian,1
E01008324,Newcastle upon Tyne 015A,10,Mixed or Multiple ethnic groups: White and Black African,2
E01008324,Newcastle upon Tyne 015A,11,Mixed or Multiple ethnic groups: White and Black Caribbean,2
E01008324,Newcastle upon Tyne 015A,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3
E01008324,Newcastle upon Tyne 015A,13,"White: English, Welsh, Scottish, Northern Irish or British",1184
E01008324,Newcastle upon Tyne 015A,14,White: Irish,1
E01008324,Newcastle upon Tyne 015A,15,White: Gypsy or Irish Traveller,0
E01008324,Newcastle upon Tyne 015A,16,White: Roma,0
E01008324,Newcastle upon Tyne 015A,17,White: Other White,13
E01008324,Newcastle upon Tyne 015A,18,Other ethnic group: Arab,3
E01008324,Newcastle upon Tyne 015A,19,Other ethnic group: Any other ethnic group,7
E01008325,Newcastle upon Tyne 015B,-8,Does not apply,0
E01008325,Newcastle upon Tyne 015B,1,"Asian, Asian British or Asian Welsh: Bangladeshi",5
E01008325,Newcastle upon Tyne 015B,2,"Asian, Asian British or Asian Welsh: Chinese",11
E01008325,Newcastle upon Tyne 015B,3,"Asian, Asian British or Asian Welsh: Indian",5
E01008325,Newcastle upon Tyne 015B,4,"Asian, Asian British or Asian Welsh: Pakistani",0
E01008325,Newcastle upon Tyne 015B,5,"Asian, Asian British or Asian Welsh: Other Asian",6
E01008325,Newcastle upon Tyne 015B,6,"Black, Black British, Black Welsh, Caribbean or African: African",114
E01008325,Newcastle upon Tyne 015B,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1
E01008325,Newcastle upon Tyne 015B,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",35
E01008325,Newcastle upon Tyne 015B,9,Mixed or Multiple ethnic groups: White and Asian,9
E01008325,Newcastle upon Tyne 015B,10,Mixed or Multiple ethnic groups: White and Black African,20
E01008325,Newcastle upon Tyne 015B,11,Mixed or Multiple ethnic groups: White and Black Caribbean,3
E01008325,Newcastle upon Tyne 015B,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8
E01008325,Newcastle upon Tyne 015B,13,"White: English, Welsh, Scottish, Northern Irish or British",1233
E01008325,Newcastle upon Tyne 015B,14,White: Irish,2
E01008325,Newcastle upon Tyne 015B,15,White: Gypsy or Irish Traveller,0
E01008325,Newcastle upon Tyne 015B,16,White: Roma,0
E01008325,Newcastle upon Tyne 015B,17,White: Other White,34
E01008325,Newcastle upon Tyne 015B,18,Other ethnic group: Arab,0
E01008325,Newcastle upon Tyne 015B,19,Other ethnic group: Any other ethnic group,1
E01008326,Newcastle upon Tyne 015C,-8,Does not apply,0
E01008326,Newcastle upon Tyne 015C,1,"Asian, Asian British or Asian Welsh: Bangladeshi",0
E01008326,Newcastle upon Tyne 015C,2,"Asian, Asian British or Asian Welsh: Chinese",1
E01008326,Newcastle upon Tyne 015C,3,"Asian, Asian British or Asian Welsh: Indian",6
E01008326,Newcastle upon Tyne 015C,4,"Asian, Asian British or Asian Welsh: Pakistani",14
E01008326,Newcastle upon Tyne 015C,5,"Asian, Asian British or Asian Welsh: Other Asian",3
E01008326,Newcastle upon Tyne 015C,6,"Black, Black British, Black Welsh, Caribbean or African: African",7
E01008326,Newcastle upon Tyne 015C,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1
E01008326,Newcastle upon Tyne 015C,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5
E01008326,Newcastle upon Tyne 015C,9,Mixed or Multiple ethnic groups: White and Asian,4
E01008326,Newcastle upon Tyne 015C,10,Mixed or Multiple ethnic groups: White and Black African,1
E01008326,Newcastle upon Tyne 015C,11,Mixed or Multiple ethnic groups: White and Black Caribbean,2
E01008326,Newcastle upon Tyne 015C,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1
E01008326,Newcastle upon Tyne 015C,13,"White: English, Welsh, Scottish, Northern Irish or British",1334
E01008326,Newcastle upon Tyne 015C,14,White: Irish,5
E01008326,Newcastle upon Tyne 015C,15,White: Gypsy or Irish Traveller,0
E01008326,Newcastle upon Tyne 015C,16,White: Roma,6
E01008326,Newcastle upon Tyne 015C,17,White: Other White,7
E01008326,Newcastle upon Tyne 015C,18,Other ethnic group: Arab,0
E01008326,Newcastle upon Tyne 015C,19,Other ethnic group: Any other ethnic group,1
E01008327,Newcastle upon Tyne 015D,-8,Does not apply,0
E01008327,Newcastle upon Tyne 015D,1,"Asian, Asian British or Asian Welsh: Bangladeshi",10
E01008327,Newcastle upon Tyne 015D,2,"Asian, Asian British or Asian Welsh: Chinese",6
E01008327,Newcastle upon Tyne 015D,3,"Asian, Asian British or Asian Welsh: Indian",4
E01008327,Newcastle upon Tyne 015D,4,"Asian, Asian British or Asian Welsh: Pakistani",5
E01008327,Newcastle upon Tyne 015D,5,"Asian, Asian British or Asian Welsh: Other Asian",17
E01008327,Newcastle upon Tyne 015D,6,"Black, Black British, Black Welsh, Caribbean or African: African",25
E01008327,Newcastle upon Tyne 015D,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",0
E01008327,Newcastle upon Tyne 015D,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",11
E01008327,Newcastle upon Tyne 015D,9,Mixed or Multiple ethnic groups: White and Asian,5
E01008327,Newcastle upon Tyne 015D,10,Mixed or Multiple ethnic groups: White and Black African,2
E01008327,Newcastle upon Tyne 015D,11,Mixed or Multiple ethnic groups: White and Black Caribbean,6
E01008327,Newcastle upon Tyne 015D,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,5
E01008327,Newcastle upon Tyne 015D,13,"White: English, Welsh, Scottish, Northern Irish or British",1075
E01008327,Newcastle upon Tyne 015D,14,White: Irish,2
E01008327,Newcastle upon Tyne 015D,15,White: Gypsy or Irish Traveller,0
E01008327,Newcastle upon Tyne 015D,16,White: Roma,0
E01008327,Newcastle upon Tyne 015D,17,White: Other White,44
E01008327,Newcastle upon Tyne 015D,18,Other ethnic group: Arab,9
E01008327,Newcastle upon Tyne 015D,19,Other ethnic group: Any other ethnic group,10
E01008328,Newcastle upon Tyne 015E,-8,Does not apply,0
E01008328,Newcastle upon Tyne 015E,1,"Asian, Asian British or Asian Welsh: Bangladeshi",4
E01008328,Newcastle upon Tyne 015E,2,"Asian, Asian British or Asian Welsh: Chinese",5
E01008328,Newcastle upon Tyne 015E,3,"Asian, Asian British or Asian Welsh: Indian",11
E01008328,Newcastle upon Tyne 015E,4,"Asian, Asian British or Asian Welsh: Pakistani",5
E01008328,Newcastle upon Tyne 015E,5,"Asian, Asian British or Asian Welsh: Other Asian",1
E01008328,Newcastle upon Tyne 015E,6,"Black, Black British, Black Welsh, Caribbean or African: African",0
E01008328,Newcastle upon Tyne 015E,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",0
E01008328,Newcastle upon Tyne 015E,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1
E01008328,Newcastle upon Tyne 015E,9,Mixed or Multiple ethnic groups: White and Asian,2
E01008328,Newcastle upon Tyne 015E,10,Mixed or Multiple ethnic groups: White and Black African,3
E01008328,Newcastle upon Tyne 015E,11,Mixed or Multiple ethnic groups: White and Black Caribbean,1
E01008328,Newcastle upon Tyne 015E,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3
E01008328,Newcastle upon Tyne 015E,13,"White: English, Welsh, Scottish, Northern Irish or British",1161
E01008328,Newcastle upon Tyne 015E,14,White: Irish,7
E01008328,Newcastle upon Tyne 015E,15,White: Gypsy or Irish Traveller,0
E01008328,Newcastle upon Tyne 015E,16,White: Roma,0
E01008328,Newcastle upon Tyne 015E,17,White: Other White,4
E01008328,Newcastle upon Tyne 015E,18,Other ethnic group: Arab,0
E01008328,Newcastle upon Tyne 015E,19,Other ethnic group: Any other ethnic group,0
E01008329,Newcastle upon Tyne 015F,-8,Does not apply,0
E01008329,Newcastle upon Tyne 015F,1,"Asian, Asian British or Asian Welsh: Bangladeshi",1
E01008329,Newcastle upon Tyne 015F,2,"Asian, Asian British or Asian Welsh: Chinese",8
E01008329,Newcastle upon Tyne 015F,3,"Asian, Asian British or Asian Welsh: Indian",4
E01008329,Newcastle upon Tyne 015F,4,"Asian, Asian British or Asian Welsh: Pakistani",12
E01008329,Newcastle upon Tyne 015F,5,"Asian, Asian British or Asian Welsh: Other Asian",10
E01008329,Newcastle upon Tyne 015F,6,"Black, Black British, Black Welsh, Caribbean or African: African",14
E01008329,Newcastle upon Tyne 015F,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",5
E01008329,Newcastle upon Tyne 015F,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3
E01008329,Newcastle upon Tyne 015F,9,Mixed or Multiple ethnic groups: White and Asian,14
E01008329,Newcastle upon Tyne 015F,10,Mixed or Multiple ethnic groups: White and Black African,5
E01008329,Newcastle upon Tyne 015F,11,Mixed or Multiple ethnic groups: White and Black Caribbean,0
E01008329,Newcastle upon Tyne 015F,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,4
E01008329,Newcastle upon Tyne 015F,13,"White: English, Welsh, Scottish, Northern Irish or British",1341
E01008329,Newcastle upon Tyne 015F,14,White: Irish,6
E01008329,Newcastle upon Tyne 015F,15,White: Gypsy or Irish Traveller,1
E01008329,Newcastle upon Tyne 015F,16,White: Roma,0
E01008329,Newcastle upon Tyne 015F,17,White: Other White,20
E01008329,Newcastle upon Tyne 015F,18,Other ethnic group: Arab,5
E01008329,Newcastle upon Tyne 015F,19,Other ethnic group: Any other ethnic group,7
E01008330,Newcastle upon Tyne 015G,-8,Does not apply,0
E01008330,Newcastle upon Tyne 015G,1,"Asian, Asian British or Asian Welsh: Bangladeshi",12
E01008330,Newcastle upon Tyne 015G,2,"Asian, Asian British or Asian Welsh: Chinese",8
E01008330,Newcastle upon Tyne 015G,3,"Asian, Asian British or Asian Welsh: Indian",17
E01008330,Newcastle upon Tyne 015G,4,"Asian, Asian British or Asian Welsh: Pakistani",14
E01008330,Newcastle upon Tyne 015G,5,"Asian, Asian British or Asian Welsh: Other Asian",8
E01008330,Newcastle upon Tyne 015G,6,"Black, Black British, Black Welsh, Caribbean or African: African",16
E01008330,Newcastle upon Tyne 015G,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1
E01008330,Newcastle upon Tyne 015G,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3
E01008330,Newcastle upon Tyne 015G,9,Mixed or Multiple ethnic groups: White and Asian,4
E01008330,Newcastle upon Tyne 015G,10,Mixed or Multiple ethnic groups: White and Black African,9
E01008330,Newcastle upon Tyne 015G,11,Mixed or Multiple ethnic groups: White and Black Caribbean,4
E01008330,Newcastle upon Tyne 015G,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3
E01008330,Newcastle upon Tyne 015G,13,"White: English, Welsh, Scottish, Northern Irish or British",1305
E01008330,Newcastle upon Tyne 015G,14,White: Irish,4
E01008330,Newcastle upon Tyne 015G,15,White: Gypsy or Irish Traveller,0
E01008330,Newcastle upon Tyne 015G,16,White: Roma,0
E01008330,Newcastle upon Tyne 015G,17,White: Other White,24
E01008330,Newcastle upon Tyne 015G,18,Other ethnic group: Arab,0
E01008330,Newcastle upon Tyne 015G,19,Other ethnic group: Any other ethnic group,1
E01008331,Newcastle upon Tyne 041A,-8,Does not apply,0
E01008331,Newcastle upon Tyne 041A,1,"Asian, Asian British or Asian Welsh: Bangladeshi",695
E01008331,Newcastle upon Tyne 041A,2,"Asian, Asian British or Asian Welsh: Chinese",23
E01008331,Newcastle upon Tyne 041A,3,"Asian, Asian British or Asian Welsh: Indian",88
E01008331,Newcastle upon Tyne 041A,4,"Asian, Asian British or Asian Welsh: Pakistani",144
E01008331,Newcastle upon Tyne 041A,5,"Asian, Asian British or Asian Welsh: Other Asian",106
E01008331,Newcastle upon Tyne 041A,6,"Black, Black British, Black Welsh, Caribbean or African: African",138
E01008331,Newcastle upon Tyne 041A,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2
E01008331,Newcastle upon Tyne 041A,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",13
E01008331,Newcastle upon Tyne 041A,9,Mixed or Multiple ethnic groups: White and Asian,15
E01008331,Newcastle upon Tyne 041A,10,Mixed or Multiple ethnic groups: White and Black African,4
E01008331,Newcastle upon Tyne 041A,11,Mixed or Multiple ethnic groups: White and Black Caribbean,17
E01008331,Newcastle upon Tyne 041A,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,9
E01008331,Newcastle upon Tyne 041A,13,"White: English, Welsh, Scottish, Northern Irish or British",401
E01008331,Newcastle upon Tyne 041A,14,White: Irish,5
E01008331,Newcastle upon Tyne 041A,15,White: Gypsy or Irish Traveller,1
E01008331,Newcastle upon Tyne 041A,16,White: Roma,0
E01008331,Newcastle upon Tyne 041A,17,White: Other White,80
E01008331,Newcastle upon Tyne 041A,18,Other ethnic group: Arab,66
E01008331,Newcastle upon Tyne 041A,19,Other ethnic group: Any other ethnic group,83
E01008333,Newcastle upon Tyne 038E,-8,Does not apply,0
E01008333,Newcastle upon Tyne 038E,1,"Asian, Asian British or Asian Welsh: Bangladeshi",524
E01008333,Newcastle upon Tyne 038E,2,"Asian, Asian British or Asian Welsh: Chinese",5
E01008333,Newcastle upon Tyne 038E,3,"Asian, Asian British or Asian Welsh: Indian",82
E01008333,Newcastle upon Tyne 038E,4,"Asian, Asian British or Asian Welsh: Pakistani",329
E01008333,Newcastle upon Tyne 038E,5,"Asian, Asian British or Asian Welsh: Other Asian",83
E01008333,Newcastle upon Tyne 038E,6,"Black, Black British, Black Welsh, Caribbean or African: African",61
E01008333,Newcastle upon Tyne 038E,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2
E01008333,Newcastle upon Tyne 038E,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2
E01008333,Newcastle upon Tyne 038E,9,Mixed or Multiple ethnic groups: White and Asian,35
E01008333,Newcastle upon Tyne 038E,10,Mixed or Multiple ethnic groups: White and Black African,7
E01008333,Newcastle upon Tyne 038E,11,Mixed or Multiple ethnic groups: White and Black Caribbean,5
E01008333,Newcastle upon Tyne 038E,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,14
E01008333,Newcastle upon Tyne 038E,13,"White: English, Welsh, Scottish, Northern Irish or British",598
E01008333,Newcastle upon Tyne 038E,14,White: Irish,2
E01008333,Newcastle upon Tyne 038E,15,White: Gypsy or Irish Traveller,0
E01008333,Newcastle upon Tyne 038E,16,White: Roma,8
E01008333,Newcastle upon Tyne 038E,17,White: Other White,69
E01008333,Newcastle upon Tyne 038E,18,Other ethnic group: Arab,54
E01008333,Newcastle upon Tyne 038E,19,Other ethnic group: Any other ethnic group,70
E01008334,Newcastle upon Tyne 038A,-8,Does not apply,0
E01008334,Newcastle upon Tyne 038A,1,"Asian, Asian British or Asian Welsh: Bangladeshi",296
E01008334,Newcastle upon Tyne 038A,2,"Asian, Asian British or Asian Welsh: Chinese",4
E01008334,Newcastle upon Tyne 038A,3,"Asian, Asian British or Asian Welsh: Indian",107
E01008334,Newcastle upon Tyne 038A,4,"Asian, Asian British or Asian Welsh: Pakistani",187
E01008334,Newcastle upon Tyne 038A,5,"Asian, Asian British or Asian Welsh: Other Asian",96
E01008334,Newcastle upon Tyne 038A,6,"Black, Black British, Black Welsh, Caribbean or African: African",209
E01008334,Newcastle upon Tyne 038A,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",9
E01008334,Newcastle upon Tyne 038A,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",8
E01008334,Newcastle upon Tyne 038A,9,Mixed or Multiple ethnic groups: White and Asian,22
E01008334,Newcastle upon Tyne 038A,10,Mixed or Multiple ethnic groups: White and Black African,10
E01008334,Newcastle upon Tyne 038A,11,Mixed or Multiple ethnic groups: White and Black Caribbean,6
E01008334,Newcastle upon Tyne 038A,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,15
E01008334,Newcastle upon Tyne 038A,13,"White: English, Welsh, Scottish, Northern Irish or British",800
E01008334,Newcastle upon Tyne 038A,14,White: Irish,8
E01008334,Newcastle upon Tyne 038A,15,White: Gypsy or Irish Traveller,43
E01008334,Newcastle upon Tyne 038A,16,White: Roma,44
E01008334,Newcastle upon Tyne 038A,17,White: Other White,208
E01008334,Newcastle upon Tyne 038A,18,Other ethnic group: Arab,83
E01008334,Newcastle upon Tyne 038A,19,Other ethnic group: Any other ethnic group,143
E01008335,Newcastle upon Tyne 038D,-8,Does not apply,0
E01008335,Newcastle upon Tyne 038D,1,"Asian, Asian British or Asian Welsh: Bangladeshi",631
E01008335,Newcastle upon Tyne 038D,2,"Asian, Asian British or Asian Welsh: Chinese",6
E01008335,Newcastle upon Tyne 038D,3,"Asian, Asian British or Asian Welsh: Indian",76
E01008335,Newcastle upon Tyne 038D,4,"Asian, Asian British or Asian Welsh: Pakistani",330
E01008335,Newcastle upon Tyne 038D,5,"Asian, Asian British or Asian Welsh: Other Asian",113
E01008335,Newcastle upon Tyne 038D,6,"Black, Black British, Black Welsh, Caribbean or African: African",72
E01008335,Newcastle upon Tyne 038D,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1
E01008335,Newcastle upon Tyne 038D,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",10
E01008335,Newcastle upon Tyne 038D,9,Mixed or Multiple ethnic groups: White and Asian,24
E01008335,Newcastle upon Tyne 038D,10,Mixed or Multiple ethnic groups: White and Black African,8
E01008335,Newcastle upon Tyne 038D,11,Mixed or Multiple ethnic groups: White and Black Caribbean,16
E01008335,Newcastle upon Tyne 038D,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,15
E01008335,Newcastle upon Tyne 038D,13,"White: English, Welsh, Scottish, Northern Irish or British",358
E01008335,Newcastle upon Tyne 038D,14,White: Irish,13
E01008335,Newcastle upon Tyne 038D,15,White: Gypsy or Irish Traveller,16
E01008335,Newcastle upon Tyne 038D,16,White: Roma,59
E01008335,Newcastle upon Tyne 038D,17,White: Other White,175
E01008335,Newcastle upon Tyne 038D,18,Other ethnic group: Arab,68
E01008335,Newcastle upon Tyne 038D,19,Other ethnic group: Any other ethnic group,141
E01008336,Newcastle upon Tyne 003A,-8,Does not apply,0
E01008336,Newcastle upon Tyne 003A,1,"Asian, Asian British or Asian Welsh: Bangladeshi",12
E01008336,Newcastle upon Tyne 003A,2,"Asian, Asian British or Asian Welsh: Chinese",8
E01008336,Newcastle upon Tyne 003A,3,"Asian, Asian British or Asian Welsh: Indian",48
E01008336,Newcastle upon Tyne 003A,4,"Asian, Asian British or Asian Welsh: Pakistani",15
E01008336,Newcastle upon Tyne 003A,5,"Asian, Asian British or Asian Welsh: Other Asian",17
E01008336,Newcastle upon Tyne 003A,6,"Black, Black British, Black Welsh, Caribbean or African: African",31
