Lower layer Super Output Areas Code,Lower layer Super Output Areas,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E01008291,Newcastle upon Tyne 027D,2,"Asian, Asian British or Asian Welsh: Chinese",30
E01008291,Newcastle upon Tyne 027D,3,"Asian, Asian British or Asian Welsh: Indian",19
E01008291,Newcastle upon Tyne 027D,4,"Asian, Asian British or Asian Welsh: Pakistani",55
E01008291,Newcastle upon Tyne 027D,5,"Asian, Asian British or Asian Welsh: Other Asian",82
E01008291,Newcastle upon Tyne 027D,6,"Black, Black British, Black Welsh, Caribbean or African: African",286
E01008291,Newcastle upon Tyne 027D,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4
E01008291,Newcastle upon Tyne 027D,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",12
E01008291,Newcastle upon Tyne 027D,9,Mixed or Multiple ethnic groups: White and Asian,13
E01008291,Newcastle upon Tyne 027D,10,Mixed or Multiple ethnic groups: White and Black African,24
E01008291,Newcastle upon Tyne 027D,11,Mixed or Multiple ethnic groups: White and Black Caribbean,3
E01008291,Newcastle upon Tyne 027D,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,12
E01008291,Newcastle upon Tyne 027D,13,"White: English, Welsh, Scottish, Northern Irish or British",998
E01008291,Newcastle upon Tyne 027D,14,White: Irish,11
E01008291,Newcastle upon Tyne 027D,15,White: Gypsy or Irish Traveller,30
E01008291,Newcastle upon Tyne 027D,16,White: Roma,38
E01008291,Newcastle upon Tyne 027D,17,White: Other White,205
E01008291,Newcastle upon Tyne 027D,18,Other ethnic group: Arab,45
E01008291,Newcastle upon Tyne 027D,19,Other ethnic group: Any other ethnic group,96
E01008292,Newcastle upon Tyne 027E,-8,Does not apply,0
E01008292,Newcastle upon Tyne 027E,1,"Asian, Asian British or Asian Welsh: Bangladeshi",29
E01008292,Newcastle upon Tyne 027E,2,"Asian, Asian British or Asian Welsh: Chinese",0
E01008292,Newcastle upon Tyne 027E,3,"Asian, Asian British or Asian Welsh: Indian",20
E01008292,Newcastle upon Tyne 027E,4,"Asian, Asian British or Asian Welsh: Pakistani",43
E01008292,Newcastle upon Tyne 027E,5,"Asian, Asian British or Asian Welsh: Other Asian",4
E01008292,Newcastle upon Tyne 027E,6,"Black, Black British, Black Welsh, Caribbean or African: African",7
E01008292,Newcastle upon Tyne 027E,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",0
E01008292,Newcastle upon Tyne 027E,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
E01008292,Newcastle upon Tyne 027E,9,Mixed or Multiple ethnic groups: White and Asian,9
E01008292,Newcastle upon Tyne 027E,10,Mixed or Multiple ethnic groups: White and Black African,0
E01008292,Newcastle upon Tyne 027E,11,Mixed or Multiple ethnic groups: White and Black Caribbean,2
E01008292,Newcastle upon Tyne 027E,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2
E01008292,Newcastle upon Tyne 027E,13,"White: English, Welsh, Scottish, Northern Irish or British",1136
E01008292,Newcastle upon Tyne 027E,14,White: Irish,2
E01008292,Newcastle upon Tyne 027E,15,White: Gypsy or Irish Traveller,3
E01008292,Newcastle upon Tyne 027E,16,White: Roma,0
E01008292,Newcastle upon Tyne 027E,17,White: Other White,15
E01008292,Newcastle upon Tyne 027E,18,Other ethnic group: Arab,6
E01008292,Newcastle upon Tyne 027E,19,Other ethnic group: Any other ethnic group,9
E01008293,Newcastle upon Tyne 004A,-8,Does not apply,0
E01008293,Newcastle upon Tyne 004A,1,"Asian, Asian British or Asian Welsh: Bangladeshi",0
E01008293,Newcastle upon Tyne 004A,2,"Asian, Asian British or Asian Welsh: Chinese",29
E01008293,Newcastle upon Tyne 004A,3,"Asian, Asian British or Asian Welsh: Indian",25
E01008293,Newcastle upon Tyne 004A,4,"Asian, Asian British or Asian Welsh: Pakistani",18
E01008293,Newcastle upon Tyne 004A,5,"Asian, Asian British or Asian Welsh: Other Asian",15
E01008293,Newcastle upon Tyne 004A,6,"Black, Black British, Black Welsh, Caribbean or African: African",44
E01008293,Newcastle upon Tyne 004A,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2
E01008293,Newcastle upon Tyne 004A,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5
E01008293,Newcastle upon Tyne 004A,9,Mixed or Multiple ethnic groups: White and Asian,6
E01008293,Newcastle upon Tyne 004A,10,Mixed or Multiple ethnic groups: White and Black African,7
E01008293,Newcastle upon Tyne 004A,11,Mixed or Multiple ethnic groups: White and Black Caribbean,0
E01008293,Newcastle upon Tyne 004A,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,5
E01008293,Newcastle upon Tyne 004A,13,"White: English, Welsh, Scottish, Northern Irish or British",1118
E01008293,Newcastle upon Tyne 004A,14,White: Irish,4
E01008293,Newcastle upon Tyne 004A,15,White: Gypsy or Irish Traveller,0
E01008293,Newcastle upon Tyne 004A,16,White: Roma,0
E01008293,Newcastle upon Tyne 004A,17,White: Other White,30
E01008293,Newcastle upon Tyne 004A,18,Other ethnic group: Arab,52
E01008293,Newcastle upon Tyne 004A,19,Other ethnic group: Any other ethnic group,17
E01008294,Newcastle upon Tyne 033D,-8,Does not apply,0
E01008294,Newcastle upon Tyne 033D,1,"Asian, Asian British or Asian Welsh: Bangladeshi",6
E01008294,Newcastle upon Tyne 033D,2,"Asian, Asian British or Asian Welsh: Chinese",17
E01008294,Newcastle upon Tyne 033D,3,"Asian, Asian British or Asian Welsh: Indian",16
E01008294,Newcastle upon Tyne 033D,4,"Asian, Asian British or Asian Welsh: Pakistani",17
E01008294,Newcastle upon Tyne 033D,5,"Asian, Asian British or Asian Welsh: Other Asian",7
E01008294,Newcastle upon Tyne 033D,6,"Black, Black British, Black Welsh, Caribbean or African: African",10
E01008294,Newcastle upon Tyne 033D,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",0
E01008294,Newcastle upon Tyne 033D,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1
E01008294,Newcastle upon Tyne 033D,9,Mixed or Multiple ethnic groups: White and Asian,5
E01008294,Newcastle upon Tyne 033D,10,Mixed or Multiple ethnic groups: White and Black African,8
E01008294,Newcastle upon Tyne 033D,11,Mixed or Multiple ethnic groups: White and Black Caribbean,0
E01008294,Newcastle upon Tyne 033D,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1
E01008294,Newcastle upon Tyne 033D,13,"White: English, Welsh, Scottish, Northern Irish or British",1149
E01008294,Newcastle upon Tyne 033D,14,White: Irish,9
E01008294,Newcastle upon Tyne 033D,15,White: Gypsy or Irish Traveller,0
E01008294,Newcastle upon Tyne 033D,16,White: Roma,0
E01008294,Newcastle upon Tyne 033D,17,White: Other White,32
E01008294,Newcastle upon Tyne 033D,18,Other ethnic group: Arab,71
E01008294,Newcastle upon Tyne 033D,19,Other ethnic group: Any other ethnic group,8
E01008295,Newcastle upon Tyne 008A,-8,Does not apply,0
E01008295,Newcastle upon Tyne 008A,1,"Asian, Asian British or Asian Welsh: Bangladeshi",10
E01008295,Newcastle upon Tyne 008A,2,"Asian, Asian British or Asian Welsh: Chinese",30
E01008295,Newcastle upon Tyne 008A,3,"Asian, Asian British or Asian Welsh: Indian",6
E01008295,Newcastle upon Tyne 008A,4,"Asian, Asian British or Asian Welsh: Pakistani",8
E01008295,Newcastle upon Tyne 008A,5,"Asian, Asian British or Asian Welsh: Other Asian",38
E01008295,Newcastle upon Tyne 008A,6,"Black, Black British, Black Welsh, Caribbean or African: African",153
E01008295,Newcastle upon Tyne 008A,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",0
E01008295,Newcastle upon Tyne 008A,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3
E01008295,Newcastle upon Tyne 008A,9,Mixed or Multiple ethnic groups: White and Asian,44
E01008295,Newcastle upon Tyne 008A,10,Mixed or Multiple ethnic groups: White and Black African,9
E01008295,Newcastle upon Tyne 008A,11,Mixed or Multiple ethnic groups: White and Black Caribbean,4
E01008295,Newcastle upon Tyne 008A,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8
E01008295,Newcastle upon Tyne 008A,13,"White: English, Welsh, Scottish, Northern Irish or British",1360
E01008295,Newcastle upon Tyne 008A,14,White: Irish,5
E01008295,Newcastle upon Tyne 008A,15,White: Gypsy or Irish Traveller,2
E01008295,Newcastle upon Tyne 008A,16,White: Roma,19
E01008295,Newcastle upon Tyne 008A,17,White: Other White,32
E01008295,Newcastle upon Tyne 008A,18,Other ethnic group: Arab,38
E01008295,Newcastle upon Tyne 008A,19,Other ethnic group: Any other ethnic group,26
E01008296,Newcastle upon Tyne 011A,-8,Does not apply,0
E01008296,Newcastle upon Tyne 011A,1,"Asian, Asian British or Asian Welsh: Bangladeshi",0
E01008296,Newcastle upon Tyne 011A,2,"Asian, Asian British or Asian Welsh: Chinese",7
E01008296,Newcastle upon Tyne 011A,3,"Asian, Asian British or Asian Welsh: Indian",7
E01008296,Newcastle upon Tyne 011A,4,"Asian, Asian British or Asian Welsh: Pakistani",4
E01008296,Newcastle upon Tyne 011A,5,"Asian, Asian British or Asian Welsh: Other Asian",2
E01008296,Newcastle upon Tyne 011A,6,"Black, Black British, Black Welsh, Caribbean or African: African",6
E01008296,Newcastle upon Tyne 011A,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",0
E01008296,Newcastle upon Tyne 011A,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
E01008296,Newcastle upon Tyne 011A,9,Mixed or Multiple ethnic groups: White and Asian,5
E01008296,Newcastle upon Tyne 011A,10,Mixed or Multiple ethnic groups: White and Black African,4
E01008296,Newcastle upon Tyne 011A,11,Mixed or Multiple ethnic groups: White and Black Caribbean,4
E01008296,Newcastle upon Tyne 011A,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3
E01008296,Newcastle upon Tyne 011A,13,"White: English, Welsh, Scottish, Northern Irish or British",1268
E01008296,Newcastle upon Tyne 011A,14,White: Irish,7
E01008296,Newcastle upon Tyne 011A,15,White: Gypsy or Irish Traveller,0
E01008296,Newcastle upon Tyne 011A,16,White: Roma,0
E01008296,Newcastle upon Tyne 011A,17,White: Other White,14
E01008296,Newcastle upon Tyne 011A,18,Other ethnic group: Arab,2
E01008296,Newcastle upon Tyne 011A,19,Other ethnic group: Any other ethnic group,5
E01008297,Newcastle upon Tyne 011B,-8,Does not apply,0
